3,0	58,0
3,1	61,0
3,2	38,0
3,3	34,0
3,4	22,0
3,5	14,0
3,6	6,0
3,7	3,0
3,8	3,0
3,9	3,0
4,0	2,0
4,1	2,0
4,2	1,0
4,3	2,0
4,4	4,0
4,5	2,0
4,6	2,0
4,7	2,0
4,8	1,0
4,9	2,0
5,0	3,0
5,1	4,0
5,2	2,0
5,3	2,0
5,4	2,0
5,5	1,0
5,6	1,0
5,7	3,0
5,8	1,0
5,9	2,0
6,0	2,0
6,1	1,0
6,2	1,0
6,3	1,0
6,4	1,0
6,5	1,0
6,6	1,0
6,7	1,0
6,8	1,0
6,9	2,0
7,0	1,0
7,1	4,0
7,2	2,0
7,3	5,0
7,4	8,0
7,5	9,0
7,6	12,0
7,7	15,0
7,8	17,0
7,9	23,0
8,0	23,0
8,1	28,0
8,2	33,0
8,3	36,0
8,4	38,0
8,5	37,0
8,6	40,0
8,7	40,0
8,8	39,0
8,9	45,0
9,0	46,0
9,1	45,0
9,2	48,0
9,3	50,0
9,4	47,0
9,5	58,0
9,6	54,0
9,7	52,0
9,8	55,0
9,9	50,0
10,0	48,0
10,1	53,0
10,2	54,0
10,3	52,0
10,4	43,0
10,5	53,0
10,6	52,0
10,7	46,0
10,8	48,0
10,9	47,0
11,0	47,0
11,1	44,0
11,2	45,0
11,3	42,0
