MIN=0	0	0	-0.1	0	0	
MAX=15	30	10	13	30	5	
SCALE=5	10	5	5	10	1	
DEC=1	2	2	2	2	2	
DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Collector Current" I_A / nA	"Acceleration Voltage" U_2 / V	"Frequency" f / Hz	
0	0.18	0.01	0.01	1.8	NAN	
0.1	0.015	-0.03	-0.03	0.15	NAN	
0.2	0.03	-0.005	-0.005	0.3	NAN	
0.3	0.045	0	0	0.45	NAN	
0.4	0.075	0	0	0.75	NAN	
0.5	0.105	0	0	1.05	NAN	
0.6	0.135	0	0	1.35	NAN	
0.7	0.165	-0.02	-0.02	1.65	NAN	
0.8	0.18	0.01	0.01	1.8	NAN	
0.9	0.21	-0.02	-0.02	2.1	NAN	
1	0.24	-0.015	-0.015	2.4	NAN	
1.1	0.27	-0.015	-0.015	2.7	NAN	
1.2	0.3	-0.01	-0.01	3	NAN	
1.3	0.315	0	0	3.15	NAN	
1.4	0.345	0.13	0.13	3.45	NAN	
1.5	0.375	0.35	0.35	3.75	NAN	
1.6	0.405	0.63	0.63	4.05	NAN	
1.7	0.42	0.875	0.875	4.2	NAN	
1.8	0.435	1.2	1.2	4.35	NAN	
1.9	0.465	1.05	1.05	4.65	NAN	
2	0.495	0.72	0.72	4.95	NAN	
2.1	0.525	0.43	0.43	5.25	NAN	
2.2	0.555	0.19	0.19	5.55	NAN	
2.3	0.57	0.085	0.085	5.7	NAN	
2.4	0.6	-0.005	-0.005	6	NAN	
2.5	0.63	0.02	0.02	6.3	NAN	
2.6	0.66	0.025	0.025	6.6	NAN	
2.7	0.69	-0.01	-0.01	6.9	NAN	
2.8	0.705	0.025	0.025	7.05	NAN	
2.9	0.735	0.035	0.035	7.35	NAN	
3	0.75	-0.005	-0.005	7.5	NAN	
3.1	0.78	0.08	0.08	7.8	NAN	
3.2	0.81	0.35	0.35	8.1	NAN	
3.3	0.825	0.6	0.6	8.25	NAN	
3.4	0.855	1.235	1.235	8.55	NAN	
3.5	0.885	1.875	1.875	8.85	NAN	
3.6	0.915	2.51	2.51	9.15	NAN	
3.7	0.945	2.845	2.845	9.45	NAN	
3.8	0.96	2.66	2.66	9.6	NAN	
3.9	0.99	1.975	1.975	9.9	NAN	
4	1.02	1.44	1.44	10.2	NAN	
4.1	1.05	0.85	0.85	10.5	NAN	
4.2	1.065	0.51	0.51	10.65	NAN	
4.3	1.095	0.375	0.375	10.95	NAN	
4.4	1.11	0.155	0.155	11.1	NAN	
4.5	1.14	0.06	0.06	11.4	NAN	
4.6	1.17	0.11	0.11	11.7	NAN	
4.7	1.2	0.035	0.035	12	NAN	
4.8	1.215	0.07	0.07	12.15	NAN	
4.9	1.245	0.045	0.045	12.45	NAN	
5	1.275	0.16	0.16	12.75	NAN	
5.1	1.305	0.5	0.5	13.05	NAN	
5.2	1.32	1.035	1.035	13.2	NAN	
5.3	1.35	1.88	1.88	13.5	NAN	
5.4	1.38	2.74	2.74	13.8	NAN	
5.5	1.41	3.81	3.81	14.1	NAN	
5.6	1.44	4.49	4.49	14.4	NAN	
5.7	1.455	4.61	4.61	14.55	NAN	
5.8	1.47	4.13	4.13	14.7	NAN	
5.9	1.5	3.495	3.495	15	NAN	
6	1.53	2.595	2.595	15.3	NAN	
6.1	1.56	1.785	1.785	15.6	NAN	
6.2	1.575	1.135	1.135	15.75	NAN	
6.3	1.605	0.74	0.74	16.05	NAN	
6.4	1.635	0.51	0.51	16.35	NAN	
6.5	1.665	0.445	0.445	16.65	NAN	
6.6	1.695	0.355	0.355	16.95	NAN	
6.7	1.71	0.3	0.3	17.1	NAN	
6.8	1.74	0.24	0.24	17.4	NAN	
6.9	1.77	0.465	0.465	17.7	NAN	
7	1.785	0.755	0.755	17.85	NAN	
7.1	1.815	1.515	1.515	18.15	NAN	
7.2	1.83	2.135	2.135	18.3	NAN	
7.3	1.86	3.33	3.33	18.6	NAN	
7.4	1.89	4.65	4.65	18.9	NAN	
7.5	1.92	5.64	5.64	19.2	NAN	
7.6	1.935	6.315	6.315	19.35	NAN	
7.7	1.965	6.46	6.46	19.65	NAN	
7.8	1.995	6.1	6.1	19.95	NAN	
7.9	2.025	5.315	5.315	20.25	NAN	
8	2.055	4.38	4.38	20.55	NAN	
8.1	2.07	3.44	3.44	20.7	NAN	
8.2	2.1	2.85	2.85	21	NAN	
8.3	2.115	2.11	2.11	21.15	NAN	
8.4	2.145	1.78	1.78	21.45	NAN	
8.5	2.175	1.385	1.385	21.75	NAN	
8.6	2.19	1.12	1.12	21.9	NAN	
8.7	2.22	0.965	0.965	22.2	NAN	
8.8	2.25	0.965	0.965	22.5	NAN	
8.9	2.28	1.265	1.265	22.8	NAN	
9	2.31	1.755	1.755	23.1	NAN	
9.1	2.325	2.51	2.51	23.25	NAN	
9.2	2.355	3.62	3.62	23.55	NAN	
9.3	2.385	4.975	4.975	23.85	NAN	
9.4	2.415	6.5	6.5	24.15	NAN	
9.5	2.43	7.845	7.845	24.3	NAN	
9.6	2.445	8.66	8.66	24.45	NAN	
9.7	2.475	8.95	8.95	24.75	NAN	
9.8	2.505	8.915	8.915	25.05	NAN	
9.9	2.535	8.32	8.32	25.35	NAN	
10	2.55	7.555	7.555	25.5	NAN	
10.1	2.58	6.75	6.75	25.8	NAN	
10.2	2.61	6.05	6.05	26.1	NAN	
10.3	2.64	5.39	5.39	26.4	NAN	
10.4	2.67	4.745	4.745	26.7	NAN	
10.5	2.685	4.21	4.21	26.85	NAN	
10.6	2.715	3.82	3.82	27.15	NAN	
10.7	2.745	3.47	3.47	27.45	NAN	
10.8	2.76	3.26	3.26	27.6	NAN	
10.9	2.775	3.57	3.57	27.75	NAN	
11	2.805	4.18	4.18	28.05	NAN	
11.1	2.835	5.16	5.16	28.35	NAN	
11.2	2.865	6.375	6.375	28.65	NAN	
11.3	2.895	8.035	8.035	28.95	NAN	
11.4	2.91	9.735	9.735	29.1	NAN	
11.5	2.94	10.245	10.245	29.4	NAN	
11.6	2.97	10.245	10.245	29.7	NAN	
11.7	3	10.245	10.245	30	NAN	
11.8	3.015	10.245	10.245	30.15	NAN	
11.9	3.045	10.245	10.245	30.45	NAN	
12	3.075	10.245	10.245	30.75	NAN	
12.1	3.09	10.245	10.245	30.9	NAN	
12.2	3.12	10.245	10.245	31.2	NAN	
12.3	3.135	10.245	10.245	31.35	NAN	
12.4	3.165	10.245	10.245	31.65	NAN	
12.5	3.195	10.245	10.245	31.95	NAN	
12.6	3.195	10.245	10.245	31.95	NAN	
12.7	3.195	10.245	10.245	31.95	NAN	
12.8	3.195	10.245	10.245	31.95	NAN	
12.9	3.195	10.245	10.245	31.95	NAN	
13	3.195	10.245	10.245	31.95	NAN	
13.1	3.195	10.245	10.245	31.95	NAN	
13.2	3.195	10.245	10.245	31.95	NAN	
13.3	3.195	10.245	10.245	31.95	NAN	
13.4	3.195	10.245	10.245	31.95	NAN	
13.5	3.195	10.245	10.245	31.95	NAN	
