MIN=0	0	0	-0.1	0	0	
MAX=15	30	10	13	30	5	
SCALE=5	10	5	5	10	1	
DEC=1	2	2	2	2	2	
DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Collector Current" I_A / nA	"Acceleration Voltage" U_2 / V	"Frequency" f / Hz	
0	0.36	-0.06	-0.06	3.6	NAN	
0.1	0.015	-0.045	-0.045	0.15	NAN	
0.2	0.09	0.645	0.645	0.9	NAN	
0.3	0.15	-0.05	-0.05	1.5	NAN	
0.4	0.075	-0.045	-0.045	0.75	NAN	
0.5	0.105	-0.045	-0.045	1.05	NAN	
0.6	0.135	-0.035	-0.035	1.35	NAN	
0.7	0.165	-0.035	-0.035	1.65	NAN	
0.8	0.195	-0.04	-0.04	1.95	NAN	
0.9	0.21	-0.025	-0.025	2.1	NAN	
1	0.24	-0.025	-0.025	2.4	NAN	
1.1	0.27	0.02	0.02	2.7	NAN	
1.2	0.3	-0.01	-0.01	3	NAN	
1.3	0.33	0.01	0.01	3.3	NAN	
1.4	0.36	0.065	0.065	3.6	NAN	
1.5	0.375	0.105	0.105	3.75	NAN	
1.6	0.405	0.04	0.04	4.05	NAN	
1.7	0.42	0.165	0.165	4.2	NAN	
1.8	0.45	0.31	0.31	4.5	NAN	
1.9	0.48	0.255	0.255	4.8	NAN	
2	0.495	0.33	0.33	4.95	NAN	
2.1	0.525	0.19	0.19	5.25	NAN	
2.2	0.555	0.085	0.085	5.55	NAN	
2.3	0.585	0.045	0.045	5.85	NAN	
2.4	0.615	0.06	0.06	6.15	NAN	
2.5	0.63	0.04	0.04	6.3	NAN	
2.6	0.66	0.05	0.05	6.6	NAN	
2.7	0.69	0.055	0.055	6.9	NAN	
2.8	0.72	0.05	0.05	7.2	NAN	
2.9	0.75	0.13	0.13	7.5	NAN	
3	0.765	0.14	0.14	7.65	NAN	
3.1	0.78	0.11	0.11	7.8	NAN	
3.2	0.81	0.285	0.285	8.1	NAN	
3.3	0.84	0.465	0.465	8.4	NAN	
3.4	0.87	0.525	0.525	8.7	NAN	
3.5	0.9	0.65	0.65	9	NAN	
3.6	0.915	0.785	0.785	9.15	NAN	
3.7	0.945	0.925	0.925	9.45	NAN	
3.8	0.975	1.055	1.055	9.75	NAN	
3.9	1.005	0.905	0.905	10.05	NAN	
4	1.035	0.75	0.75	10.35	NAN	
4.1	1.05	0.46	0.46	10.5	NAN	
4.2	1.08	0.32	0.32	10.8	NAN	
4.3	1.095	0.15	0.15	10.95	NAN	
4.4	1.125	0.14	0.14	11.25	NAN	
4.5	1.155	0.16	0.16	11.55	NAN	
4.6	1.17	0.245	0.245	11.7	NAN	
4.7	1.2	0.295	0.295	12	NAN	
4.8	1.23	0.315	0.315	12.3	NAN	
4.9	1.26	0.485	0.485	12.6	NAN	
5	1.29	0.555	0.555	12.9	NAN	
5.1	1.305	0.765	0.765	13.05	NAN	
5.2	1.335	0.865	0.865	13.35	NAN	
5.3	1.365	1.05	1.05	13.65	NAN	
5.4	1.395	1.23	1.23	13.95	NAN	
5.5	1.41	1.44	1.44	14.1	NAN	
5.6	1.425	1.68	1.68	14.25	NAN	
5.7	1.455	1.78	1.78	14.55	NAN	
5.8	1.485	1.705	1.705	14.85	NAN	
5.9	1.515	1.46	1.46	15.15	NAN	
6	1.545	1.155	1.155	15.45	NAN	
6.1	1.56	0.935	0.935	15.6	NAN	
6.2	1.59	0.63	0.63	15.9	NAN	
6.3	1.62	0.5	0.5	16.2	NAN	
6.4	1.65	0.53	0.53	16.5	NAN	
6.5	1.665	0.45	0.45	16.65	NAN	
6.6	1.695	0.475	0.475	16.95	NAN	
6.7	1.725	0.595	0.595	17.25	NAN	
6.8	1.755	0.735	0.735	17.55	NAN	
6.9	1.77	0.95	0.95	17.7	NAN	
7	1.8	1.11	1.11	18	NAN	
7.1	1.815	1.295	1.295	18.15	NAN	
7.2	1.845	1.535	1.535	18.45	NAN	
7.3	1.875	1.865	1.865	18.75	NAN	
7.4	1.905	2.14	2.14	19.05	NAN	
7.5	1.92	2.37	2.37	19.2	NAN	
7.6	1.95	2.52	2.52	19.5	NAN	
7.7	1.98	2.62	2.62	19.8	NAN	
7.8	2.01	2.36	2.36	20.1	NAN	
7.9	2.025	2.265	2.265	20.25	NAN	
8	2.055	1.915	1.915	20.55	NAN	
8.1	2.085	1.585	1.585	20.85	NAN	
8.2	2.1	1.28	1.28	21	NAN	
8.3	2.13	1.095	1.095	21.3	NAN	
8.4	2.16	1.075	1.075	21.6	NAN	
8.5	2.175	1.02	1.02	21.75	NAN	
8.6	2.205	1.065	1.065	22.05	NAN	
8.7	2.235	1.235	1.235	22.35	NAN	
8.8	2.265	1.315	1.315	22.65	NAN	
8.9	2.28	1.505	1.505	22.8	NAN	
9	2.31	1.85	1.85	23.1	NAN	
9.1	2.34	2.115	2.115	23.4	NAN	
9.2	2.37	2.47	2.47	23.7	NAN	
9.3	2.4	2.83	2.83	24	NAN	
9.4	2.415	3.185	3.185	24.15	NAN	
9.5	2.43	3.38	3.38	24.3	NAN	
9.6	2.46	3.605	3.605	24.6	NAN	
9.7	2.49	3.62	3.62	24.9	NAN	
9.8	2.52	3.525	3.525	25.2	NAN	
9.9	2.535	3.21	3.21	25.35	NAN	
10	2.565	2.885	2.885	25.65	NAN	
10.1	2.595	2.705	2.705	25.95	NAN	
10.2	2.625	2.39	2.39	26.25	NAN	
10.3	2.655	2.21	2.21	26.55	NAN	
10.4	2.67	2.115	2.115	26.7	NAN	
10.5	2.7	2.025	2.025	27	NAN	
10.6	2.73	2.065	2.065	27.3	NAN	
10.7	2.76	2.07	2.07	27.6	NAN	
10.8	2.775	2.27	2.27	27.75	NAN	
10.9	2.79	2.385	2.385	27.9	NAN	
11	2.82	2.785	2.785	28.2	NAN	
11.1	2.85	3.145	3.145	28.5	NAN	
11.2	2.88	3.55	3.55	28.8	NAN	
11.3	2.895	3.96	3.96	28.95	NAN	
11.4	2.925	4.325	4.325	29.25	NAN	
11.5	2.955	4.695	4.695	29.55	NAN	
11.6	2.985	4.92	4.92	29.85	NAN	
11.7	3.015	5.025	5.025	30.15	NAN	
11.8	3.03	5.045	5.045	30.3	NAN	
11.9	3.06	4.825	4.825	30.6	NAN	
12	3.09	4.51	4.51	30.9	NAN	
12.1	3.105	4.36	4.36	31.05	NAN	
12.2	3.135	4.125	4.125	31.35	NAN	
12.3	3.15	3.95	3.95	31.5	NAN	
12.4	3.18	3.9	3.9	31.8	NAN	
12.5	3.195	3.815	3.815	31.95	NAN	
12.6	3.195	3.805	3.805	31.95	NAN	
12.7	3.195	3.835	3.835	31.95	NAN	
12.8	3.195	3.835	3.835	31.95	NAN	
12.9	3.195	3.825	3.825	31.95	NAN	
13	3.195	3.84	3.84	31.95	NAN	
13.1	3.195	3.825	3.825	31.95	NAN	
13.2	3.195	3.84	3.84	31.95	NAN	
13.3	3.195	3.735	3.735	31.95	NAN	
13.4	3.195	3.875	3.875	31.95	NAN	
13.5	3.195	3.925	3.925	31.95	NAN	
