Voltage (mV)	Current (mA)
0,492V	3,14
0,530V	2,75
0,585V	1,96
0,647V	1,58
0,712V	1,24
0,754V	0,99
0,823V	0,58
0,925V	0,08
1,060V	-0,19
1,168V	-0,32
1,281V	-0,42
1,410V	-0,46
1,533V	-0,42
1,752V	-0,55
1,925V	-0,58
2,075V	-0,5
