Voltage (mV)	Current (mA)
0	3,17
33,7	3,15
70,9	3,01
100,9	2,69
133,3	2,58
176,6	1,78
230,2	1,5
298,3	0,88
354,3	0,43
0,463V	0,03
0,518V	-0,09
0,596V	-0,19
0,684V	-0,26
0,761V	-0,33
0,842V	-0,37
0,932V	-0,39
1,040V	-0,35
1,255V	-0,39
1,487V	-0,44
1,678V	-0,46
