Voltage (mV)	Current (mA)
0	0,88
32,2	0,78
61,9	0,74
89,7	0,73
139,0	0,52
168,5	0,47
210,8	0,39
310,9	0,27
0,430V	0,09
0,589V	-0,01
0,692V	-0,05
0,811V	-0,08
0,927V	-0,1
1,020V	-0,11
1,136V	-0,13
1,263V	-0,13
1,461V	-0,15
1,621V	-0,14
1,846V	-0,16
