Voltage (mV)	Current (mA)
0,00	2,40
54,00	1,70
82,90	1,48
118,40	1,21
181,40	0,74
244,00	0,43
292,1	0,25
378,0	0,07
26,4	2,05
104,0	1,2
142,0	1,12
0,445V	-0,08
0,555V	-0,19
0,636V	-0,23
0,674V	-0,25
0,765V	-0,27
0,857V	-0,26
0,922V	-0,29
0,995V	-0,3
1,265V	-0,3
1,527V	-0,32
1,736V	-0,35
